,Fecha,Hora,Precio_Zonal,Componente_Congestion,Componente_Energia,Componente_Perdidas,Zona_de_Carga,Mercado,Dia_de_la_semana,Festivo
0,2020-08-01,1,706.48,11.76,699.32,-4.6,AGUASCALIENTES,MDA,Sabado,
1,2020-08-01,2,542.75,33.56,513.64,-4.44,AGUASCALIENTES,MDA,Sabado,
2,2020-08-01,3,562.92,0,566.22,-3.3,AGUASCALIENTES,MDA,Sabado,
3,2020-08-01,4,571.41,0,571.49,-0.08,AGUASCALIENTES,MDA,Sabado,
4,2020-08-01,5,532.46,0,532.22,0.24,AGUASCALIENTES,MDA,Sabado,
5,2020-08-01,6,555.95,0,554.6,1.34,AGUASCALIENTES,MDA,Sabado,
6,2020-08-01,7,471.4,84.48,383.7,3.22,AGUASCALIENTES,MDA,Sabado,
7,2020-08-01,8,433.51,94.16,336.79,2.56,AGUASCALIENTES,MDA,Sabado,
8,2020-08-01,9,432.64,102.61,331.03,-1,AGUASCALIENTES,MDA,Sabado,
9,2020-08-01,10,382.9,120.95,264.77,-2.82,AGUASCALIENTES,MDA,Sabado,
10,2020-08-01,11,436.35,96.9,341.67,-2.22,AGUASCALIENTES,MDA,Sabado,
11,2020-08-01,12,441.7,111.24,332.6,-2.13,AGUASCALIENTES,MDA,Sabado,
12,2020-08-01,13,430.88,107.7,324.84,-1.66,AGUASCALIENTES,MDA,Sabado,
13,2020-08-01,14,427.85,136.79,292.96,-1.91,AGUASCALIENTES,MDA,Sabado,
14,2020-08-01,15,430.43,104.67,328.31,-2.55,AGUASCALIENTES,MDA,Sabado,
15,2020-08-01,16,442.76,128.37,317.45,-3.06,AGUASCALIENTES,MDA,Sabado,
16,2020-08-01,17,446.63,126.67,322.35,-2.38,AGUASCALIENTES,MDA,Sabado,
17,2020-08-01,18,447.18,114.82,332.87,-0.52,AGUASCALIENTES,MDA,Sabado,
18,2020-08-01,19,459.14,124.27,334.71,0.15,AGUASCALIENTES,MDA,Sabado,
19,2020-08-01,20,492.32,118.57,372,1.75,AGUASCALIENTES,MDA,Sabado,
20,2020-08-01,21,507.75,115.76,388.92,3.07,AGUASCALIENTES,MDA,Sabado,
21,2020-08-01,22,512.14,114.58,394.1,3.47,AGUASCALIENTES,MDA,Sabado,
22,2020-08-01,23,506.98,115.52,387.96,3.49,AGUASCALIENTES,MDA,Sabado,
23,2020-08-01,24,498.54,114.79,379.87,3.89,AGUASCALIENTES,MDA,Sabado,
24,2020-08-02,1,480.94,52.18,424.36,4.4,AGUASCALIENTES,MDA,Domingo,
25,2020-08-02,2,460.63,62.59,396.15,1.89,AGUASCALIENTES,MDA,Domingo,
26,2020-08-02,3,448.42,67.01,380.3,1.11,AGUASCALIENTES,MDA,Domingo,
27,2020-08-02,4,437.75,51.01,387.13,-0.38,AGUASCALIENTES,MDA,Domingo,
28,2020-08-02,5,430.98,44.93,387.14,-1.08,AGUASCALIENTES,MDA,Domingo,
29,2020-08-02,6,433.99,44.11,391.34,-1.47,AGUASCALIENTES,MDA,Domingo,
30,2020-08-02,7,487.84,39.75,451.78,-3.7,AGUASCALIENTES,MDA,Domingo,
31,2020-08-02,8,460.79,8.1,455.9,-3.21,AGUASCALIENTES,MDA,Domingo,
32,2020-08-02,9,455.21,8.56,452.3,-5.64,AGUASCALIENTES,MDA,Domingo,
33,2020-08-02,10,410.32,13.47,405.54,-8.68,AGUASCALIENTES,MDA,Domingo,
34,2020-08-02,11,425.17,5.94,427.07,-7.84,AGUASCALIENTES,MDA,Domingo,
35,2020-08-02,12,452.6,-1.76,463.59,-9.23,AGUASCALIENTES,MDA,Domingo,
36,2020-08-02,13,435.63,11.84,431.36,-7.57,AGUASCALIENTES,MDA,Domingo,
37,2020-08-02,14,444.7,-1.33,452.59,-6.57,AGUASCALIENTES,MDA,Domingo,
38,2020-08-02,15,448.47,4.32,450.86,-6.7,AGUASCALIENTES,MDA,Domingo,
39,2020-08-02,16,410.91,26.53,390.4,-6.02,AGUASCALIENTES,MDA,Domingo,
40,2020-08-02,17,416.23,43.73,378.73,-6.23,AGUASCALIENTES,MDA,Domingo,
41,2020-08-02,18,421.88,36.66,390.21,-4.98,AGUASCALIENTES,MDA,Domingo,
42,2020-08-02,19,464.13,14.7,458.74,-9.31,AGUASCALIENTES,MDA,Domingo,
43,2020-08-02,20,541.76,17.83,533.43,-9.5,AGUASCALIENTES,MDA,Domingo,
44,2020-08-02,21,604.65,0,611.17,-6.52,AGUASCALIENTES,MDA,Domingo,
45,2020-08-02,22,641.56,0,648.44,-6.88,AGUASCALIENTES,MDA,Domingo,
46,2020-08-02,23,628.35,0,635.06,-6.71,AGUASCALIENTES,MDA,Domingo,
47,2020-08-02,24,607.32,0,612.21,-4.9,AGUASCALIENTES,MDA,Domingo,
48,2020-08-03,1,520.17,10.66,515.91,-6.4,AGUASCALIENTES,MDA,Lunes,
49,2020-08-03,2,527.07,0.05,533.43,-6.42,AGUASCALIENTES,MDA,Lunes,
50,2020-08-03,3,516.7,0.01,518.45,-1.76,AGUASCALIENTES,MDA,Lunes,
