Fecha,Festivo,Zona_de_Carga
01/01/2016,Ano Nuevo,FRESNILLO
01/01/2016,Ano Nuevo,MANZANILLO
01/01/2016,Ano Nuevo,CELAYA
01/01/2016,Ano Nuevo,IRAPUATO
01/01/2016,Ano Nuevo,LEON
01/01/2016,Ano Nuevo,SALVATIERRA
01/01/2016,Ano Nuevo,IXIMIQUILPAN
01/01/2016,Ano Nuevo,CIENEGA
01/01/2016,Ano Nuevo,GUADALAJARA
01/01/2016,Ano Nuevo,JIQUILPAN
01/01/2016,Ano Nuevo,LOS ALTOS 
01/01/2016,Ano Nuevo,ZAPOTLAN
01/01/2016,Ano Nuevo,APATZINGAN
01/01/2016,Ano Nuevo,MORELIA
01/01/2016,Ano Nuevo,URUAPAN
01/01/2016,Ano Nuevo,ZACAPU
01/01/2016,Ano Nuevo,ZAMORA
01/01/2016,Ano Nuevo,TEPIC VALLARTA 
01/01/2016,Ano Nuevo,SAN JUAN DEL RIO
01/01/2016,Ano Nuevo,MATEHUALA
01/01/2016,Ano Nuevo,MINAS
01/01/2016,Ano Nuevo,AGUASCALIENTES
01/01/2016,Ano Nuevo,COLIMA 
01/01/2016,Ano Nuevo,QUERETARO
01/01/2016,Ano Nuevo,SAN LUIS POTOSI
01/01/2016,Ano Nuevo,ZACATECAS
01/02/2016,Aniversario De La Constitucion De 1918,FRESNILLO
01/02/2016,Aniversario De La Constitucion De 1919,MANZANILLO
01/02/2016,Aniversario De La Constitucion De 1920,CELAYA
01/02/2016,Aniversario De La Constitucion De 1921,IRAPUATO
01/02/2016,Aniversario De La Constitucion De 1922,LEON
01/02/2016,Aniversario De La Constitucion De 1923,SALVATIERRA
01/02/2016,Aniversario De La Constitucion De 1924,IXIMIQUILPAN
01/02/2016,Aniversario De La Constitucion De 1925,CIENEGA
01/02/2016,Aniversario De La Constitucion De 1926,GUADALAJARA
01/02/2016,Aniversario De La Constitucion De 1927,JIQUILPAN
01/02/2016,Aniversario De La Constitucion De 1928,LOS ALTOS 
01/02/2016,Aniversario De La Constitucion De 1929,ZAPOTLAN
01/02/2016,Aniversario De La Constitucion De 1930,APATZINGAN
01/02/2016,Aniversario De La Constitucion De 1931,MORELIA
01/02/2016,Aniversario De La Constitucion De 1932,URUAPAN
01/02/2016,Aniversario De La Constitucion De 1933,ZACAPU
01/02/2016,Aniversario De La Constitucion De 1934,ZAMORA
01/02/2016,Aniversario De La Constitucion De 1935,TEPIC VALLARTA 
01/02/2016,Aniversario De La Constitucion De 1936,SAN JUAN DEL RIO
01/02/2016,Aniversario De La Constitucion De 1937,MATEHUALA
01/02/2016,Aniversario De La Constitucion De 1938,MINAS
01/02/2016,Aniversario De La Constitucion De 1939,AGUASCALIENTES
01/02/2016,Aniversario De La Constitucion De 1940,COLIMA 
01/02/2016,Aniversario De La Constitucion De 1941,QUERETARO
01/02/2016,Aniversario De La Constitucion De 1942,SAN LUIS POTOSI
01/02/2016,Aniversario De La Constitucion De 1943,ZACATECAS
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,FRESNILLO
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,MANZANILLO
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,CELAYA
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,IRAPUATO
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,LEON
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,SALVATIERRA
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,IXIMIQUILPAN
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,CIENEGA
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,GUADALAJARA
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,JIQUILPAN
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,LOS ALTOS 
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,ZAPOTLAN
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,APATZINGAN
21/03/2016,Natalicio De Benito Ju‡Rez Garcia,MORELIA
